,id,start_time,peak_time,end_time,peak_value,phase
32,RG.STUN.00,2024-03-02T06:34:25.429538Z,2024-03-02T06:34:25.439538Z,2024-03-02T06:34:25.559538Z,0.20658003,P
33,RG.STUN.00,2024-03-02T06:34:42.689538Z,2024-03-02T06:34:42.689538Z,2024-03-02T06:34:42.749538Z,0.21743229,P
34,RG.STUN.00,2024-03-02T06:34:55.389538Z,2024-03-02T06:34:55.389538Z,2024-03-02T06:34:55.589538Z,0.20082608,S
35,FR.SZBH.02,2024-03-02T06:29:39.890000Z,2024-03-02T06:29:39.960000Z,2024-03-02T06:29:40.130000Z,0.26898327,P
36,FR.SZBH.02,2024-03-02T06:30:00.060000Z,2024-03-02T06:30:00.100000Z,2024-03-02T06:30:00.260000Z,0.24179779,P
37,FR.SZBH.02,2024-03-02T06:30:16.450000Z,2024-03-02T06:30:16.500000Z,2024-03-02T06:30:16.820000Z,0.36628196,P
38,FR.SZBH.02,2024-03-02T06:30:17.660000Z,2024-03-02T06:30:17.830000Z,2024-03-02T06:30:18.030000Z,0.9523672,S
39,FR.SZBH.02,2024-03-02T06:30:49.100000Z,2024-03-02T06:30:49.270000Z,2024-03-02T06:30:49.480000Z,0.93744534,P
40,FR.SZBH.02,2024-03-02T06:30:50.420000Z,2024-03-02T06:30:50.590000Z,2024-03-02T06:30:50.800000Z,0.95191056,S
41,FR.SZBH.02,2024-03-02T06:30:54.270000Z,2024-03-02T06:30:54.410000Z,2024-03-02T06:30:54.620000Z,0.35750592,P
42,FR.SZBH.02,2024-03-02T06:30:54.790000Z,2024-03-02T06:30:54.850000Z,2024-03-02T06:30:55.060000Z,0.2582954,P
43,FR.SZBH.02,2024-03-02T06:30:55.500000Z,2024-03-02T06:30:55.650000Z,2024-03-02T06:30:55.870000Z,0.9123473,S
44,FR.SZBH.02,2024-03-02T06:31:11.170000Z,2024-03-02T06:31:11.340000Z,2024-03-02T06:31:11.560000Z,0.9457755,P
45,FR.SZBH.02,2024-03-02T06:31:12.490000Z,2024-03-02T06:31:12.660000Z,2024-03-02T06:31:12.870000Z,0.96929866,S
46,FR.SZBH.02,2024-03-02T06:31:33.300000Z,2024-03-02T06:31:33.440000Z,2024-03-02T06:31:33.630000Z,0.54981506,S
47,FR.SZBH.02,2024-03-02T06:31:40.570000Z,2024-03-02T06:31:40.580000Z,2024-03-02T06:31:40.750000Z,0.20209318,P
48,FR.SZBH.02,2024-03-02T06:32:47.930000Z,2024-03-02T06:32:47.930000Z,2024-03-02T06:32:48.040000Z,0.20646606,P
49,FR.SZBH.02,2024-03-02T06:32:48.460000Z,2024-03-02T06:32:48.640000Z,2024-03-02T06:32:48.840000Z,0.90698624,S
50,FR.SZBH.02,2024-03-02T06:32:55.810000Z,2024-03-02T06:32:55.860000Z,2024-03-02T06:32:56.000000Z,0.2111845,P
51,FR.SZBH.02,2024-03-02T06:32:57.890000Z,2024-03-02T06:32:57.890000Z,2024-03-02T06:32:58.060000Z,0.20160933,S
52,FR.SZBH.02,2024-03-02T06:33:25.080000Z,2024-03-02T06:33:25.220000Z,2024-03-02T06:33:25.350000Z,0.31989297,S
53,FR.SZBH.02,2024-03-02T06:34:08.960000Z,2024-03-02T06:34:09.050000Z,2024-03-02T06:34:09.210000Z,0.24957286,S
54,FR.SZBH.02,2024-03-02T06:34:14.400000Z,2024-03-02T06:34:14.550000Z,2024-03-02T06:34:14.770000Z,0.8769672,S
55,RG.RITT.00,2024-03-02T06:30:15.569538Z,2024-03-02T06:30:15.739538Z,2024-03-02T06:30:15.949538Z,0.96857095,P
56,RG.RITT.00,2024-03-02T06:30:16.639538Z,2024-03-02T06:30:16.819538Z,2024-03-02T06:30:17.009538Z,0.9575195,S
57,RG.RITT.00,2024-03-02T06:30:48.329538Z,2024-03-02T06:30:48.499538Z,2024-03-02T06:30:48.709538Z,0.9802252,P
58,RG.RITT.00,2024-03-02T06:30:49.409538Z,2024-03-02T06:30:49.579538Z,2024-03-02T06:30:49.789538Z,0.9520285,S
59,RG.RITT.00,2024-03-02T06:30:53.399538Z,2024-03-02T06:30:53.629538Z,2024-03-02T06:30:53.869538Z,0.66750735,P
60,RG.RITT.00,2024-03-02T06:30:54.449538Z,2024-03-02T06:30:54.619538Z,2024-03-02T06:30:54.819538Z,0.9350226,S
61,RG.RITT.00,2024-03-02T06:31:10.379538Z,2024-03-02T06:31:10.569538Z,2024-03-02T06:31:10.759538Z,0.97803986,P
62,RG.RITT.00,2024-03-02T06:31:11.459538Z,2024-03-02T06:31:11.619538Z,2024-03-02T06:31:11.829538Z,0.94899213,S
63,RG.RITT.00,2024-03-02T06:31:31.379538Z,2024-03-02T06:31:31.569538Z,2024-03-02T06:31:31.749538Z,0.833514,P
64,RG.RITT.00,2024-03-02T06:31:32.269538Z,2024-03-02T06:31:32.439538Z,2024-03-02T06:31:32.649538Z,0.9317487,S
65,RG.RITT.00,2024-03-02T06:31:48.039538Z,2024-03-02T06:31:48.099538Z,2024-03-02T06:31:48.279538Z,0.28906003,P
66,RG.RITT.00,2024-03-02T06:32:14.619538Z,2024-03-02T06:32:14.749538Z,2024-03-02T06:32:14.869538Z,0.43700096,P
67,RG.RITT.00,2024-03-02T06:32:46.379538Z,2024-03-02T06:32:46.539538Z,2024-03-02T06:32:46.769538Z,0.87810314,P
68,RG.RITT.00,2024-03-02T06:32:47.409538Z,2024-03-02T06:32:47.589538Z,2024-03-02T06:32:47.789538Z,0.9328161,S
69,RG.RITT.00,2024-03-02T06:34:12.279538Z,2024-03-02T06:34:12.459538Z,2024-03-02T06:34:12.659538Z,0.96312296,P
70,RG.RITT.00,2024-03-02T06:34:13.329538Z,2024-03-02T06:34:13.509538Z,2024-03-02T06:34:13.739538Z,0.82871425,S
71,FR.LEMB.00,2024-03-02T06:30:18.430000Z,2024-03-02T06:30:18.600000Z,2024-03-02T06:30:18.810000Z,0.9135238,P
72,FR.LEMB.00,2024-03-02T06:30:21.140000Z,2024-03-02T06:30:21.320000Z,2024-03-02T06:30:21.510000Z,0.933092,S
73,FR.LEMB.00,2024-03-02T06:30:27.450000Z,2024-03-02T06:30:27.550000Z,2024-03-02T06:30:27.690000Z,0.32636783,S
74,FR.LEMB.00,2024-03-02T06:30:36.070000Z,2024-03-02T06:30:36.160000Z,2024-03-02T06:30:36.280000Z,0.24535789,P
75,FR.LEMB.00,2024-03-02T06:30:51.340000Z,2024-03-02T06:30:51.530000Z,2024-03-02T06:30:51.770000Z,0.7756125,P
76,FR.LEMB.00,2024-03-02T06:30:53.900000Z,2024-03-02T06:30:54.080000Z,2024-03-02T06:30:54.280000Z,0.8978834,S
77,FR.LEMB.00,2024-03-02T06:30:58.250000Z,2024-03-02T06:30:58.260000Z,2024-03-02T06:30:58.410000Z,0.21158585,P
78,FR.LEMB.00,2024-03-02T06:30:59.060000Z,2024-03-02T06:30:59.150000Z,2024-03-02T06:30:59.300000Z,0.3296207,S
79,FR.LEMB.00,2024-03-02T06:31:13.260000Z,2024-03-02T06:31:13.460000Z,2024-03-02T06:31:13.750000Z,0.7664765,P
80,FR.LEMB.00,2024-03-02T06:31:15.970000Z,2024-03-02T06:31:16.150000Z,2024-03-02T06:31:16.340000Z,0.91857976,S
81,FR.LEMB.00,2024-03-02T06:32:52.020000Z,2024-03-02T06:32:52.130000Z,2024-03-02T06:32:52.320000Z,0.4895789,S
82,FR.LEMB.00,2024-03-02T06:32:52.030000Z,2024-03-02T06:32:52.170000Z,2024-03-02T06:32:52.300000Z,0.25414404,P
83,FR.LEMB.00,2024-03-02T06:32:54.470000Z,2024-03-02T06:32:54.610000Z,2024-03-02T06:32:54.780000Z,0.4441747,S
84,FR.LEMB.00,2024-03-02T06:34:17.880000Z,2024-03-02T06:34:18.070000Z,2024-03-02T06:34:18.270000Z,0.81931674,S
85,RG.OBER.00,2024-03-02T06:30:16.019538Z,2024-03-02T06:30:16.189538Z,2024-03-02T06:30:16.399538Z,0.9778334,P
86,RG.OBER.00,2024-03-02T06:30:17.269538Z,2024-03-02T06:30:17.439538Z,2024-03-02T06:30:17.639538Z,0.95910853,S
87,RG.OBER.00,2024-03-02T06:30:48.759538Z,2024-03-02T06:30:48.939538Z,2024-03-02T06:30:49.149538Z,0.9811238,P
88,RG.OBER.00,2024-03-02T06:30:50.019538Z,2024-03-02T06:30:50.199538Z,2024-03-02T06:30:50.399538Z,0.9549018,S
89,RG.OBER.00,2024-03-02T06:30:53.989538Z,2024-03-02T06:30:54.179538Z,2024-03-02T06:30:54.449538Z,0.6863463,P
90,RG.OBER.00,2024-03-02T06:30:55.099538Z,2024-03-02T06:30:55.259538Z,2024-03-02T06:30:55.469538Z,0.93393064,S
91,RG.OBER.00,2024-03-02T06:31:10.839538Z,2024-03-02T06:31:11.009538Z,2024-03-02T06:31:11.219538Z,0.9629744,P
92,RG.OBER.00,2024-03-02T06:31:12.099538Z,2024-03-02T06:31:12.259538Z,2024-03-02T06:31:12.469538Z,0.95946145,S
93,RG.OBER.00,2024-03-02T06:31:31.729538Z,2024-03-02T06:31:31.769538Z,2024-03-02T06:31:31.969538Z,0.28057033,P
94,RG.OBER.00,2024-03-02T06:31:32.889538Z,2024-03-02T06:31:33.039538Z,2024-03-02T06:31:33.229538Z,0.6002369,S
95,RG.OBER.00,2024-03-02T06:31:49.529538Z,2024-03-02T06:31:49.679538Z,2024-03-02T06:31:49.879538Z,0.7183659,P
96,RG.OBER.00,2024-03-02T06:31:49.689538Z,2024-03-02T06:31:49.759538Z,2024-03-02T06:31:49.879538Z,0.27054486,S
97,RG.OBER.00,2024-03-02T06:31:51.699538Z,2024-03-02T06:31:51.839538Z,2024-03-02T06:31:52.039538Z,0.4781534,S
98,RG.OBER.00,2024-03-02T06:31:55.789538Z,2024-03-02T06:31:55.809538Z,2024-03-02T06:31:55.989538Z,0.2071639,P
99,RG.OBER.00,2024-03-02T06:31:56.349538Z,2024-03-02T06:31:56.449538Z,2024-03-02T06:31:56.649538Z,0.6102246,S
100,RG.OBER.00,2024-03-02T06:32:08.019538Z,2024-03-02T06:32:08.169538Z,2024-03-02T06:32:08.339538Z,0.70308757,S
101,RG.OBER.00,2024-03-02T06:32:11.929538Z,2024-03-02T06:32:12.019538Z,2024-03-02T06:32:12.159538Z,0.35874248,S
102,RG.OBER.00,2024-03-02T06:32:17.299538Z,2024-03-02T06:32:17.559538Z,2024-03-02T06:32:17.769538Z,0.5914426,P
103,RG.OBER.00,2024-03-02T06:32:18.349538Z,2024-03-02T06:32:18.539538Z,2024-03-02T06:32:18.719538Z,0.9360033,S
104,RG.OBER.00,2024-03-02T06:32:47.689538Z,2024-03-02T06:32:47.689538Z,2024-03-02T06:32:47.779538Z,0.20614493,P
105,RG.OBER.00,2024-03-02T06:32:48.109538Z,2024-03-02T06:32:48.299538Z,2024-03-02T06:32:48.469538Z,0.8932902,S
106,RG.OBER.00,2024-03-02T06:33:38.809538Z,2024-03-02T06:33:38.919538Z,2024-03-02T06:33:39.109538Z,0.40992117,P
107,RG.OBER.00,2024-03-02T06:33:40.579538Z,2024-03-02T06:33:40.689538Z,2024-03-02T06:33:40.879538Z,0.57027733,S
108,RG.OBER.00,2024-03-02T06:33:52.689538Z,2024-03-02T06:33:52.749538Z,2024-03-02T06:33:52.909538Z,0.25250834,S
109,RG.OBER.00,2024-03-02T06:34:13.169538Z,2024-03-02T06:34:13.389538Z,2024-03-02T06:34:13.649538Z,0.5538391,P
110,RG.OBER.00,2024-03-02T06:34:14.009538Z,2024-03-02T06:34:14.189538Z,2024-03-02T06:34:14.379538Z,0.95924807,S
111,RG.KUHL.00,2024-03-02T06:29:49.329538Z,2024-03-02T06:29:49.389538Z,2024-03-02T06:29:49.589538Z,0.23793489,S
112,RG.KUHL.00,2024-03-02T06:30:15.559538Z,2024-03-02T06:30:15.729538Z,2024-03-02T06:30:15.939538Z,0.9843258,P
113,RG.KUHL.00,2024-03-02T06:30:16.429538Z,2024-03-02T06:30:16.599538Z,2024-03-02T06:30:16.799538Z,0.95889586,S
114,RG.KUHL.00,2024-03-02T06:30:48.329538Z,2024-03-02T06:30:48.489538Z,2024-03-02T06:30:48.689538Z,0.98347104,P
115,RG.KUHL.00,2024-03-02T06:30:49.199538Z,2024-03-02T06:30:49.359538Z,2024-03-02T06:30:49.569538Z,0.9664668,S
116,RG.KUHL.00,2024-03-02T06:30:53.389538Z,2024-03-02T06:30:53.559538Z,2024-03-02T06:30:53.749538Z,0.94043636,P
117,RG.KUHL.00,2024-03-02T06:30:54.259538Z,2024-03-02T06:30:54.429538Z,2024-03-02T06:30:54.629538Z,0.93741965,S
118,RG.KUHL.00,2024-03-02T06:31:10.379538Z,2024-03-02T06:31:10.549538Z,2024-03-02T06:31:10.749538Z,0.9874663,P
119,RG.KUHL.00,2024-03-02T06:31:11.259538Z,2024-03-02T06:31:11.429538Z,2024-03-02T06:31:11.639538Z,0.96063584,S
120,RG.KUHL.00,2024-03-02T06:31:19.729538Z,2024-03-02T06:31:19.839538Z,2024-03-02T06:31:20.029538Z,0.3930145,P
121,RG.KUHL.00,2024-03-02T06:31:20.569538Z,2024-03-02T06:31:20.689538Z,2024-03-02T06:31:20.879538Z,0.43367606,S
122,RG.KUHL.00,2024-03-02T06:31:31.169538Z,2024-03-02T06:31:31.349538Z,2024-03-02T06:31:31.549538Z,0.9862438,P
123,RG.KUHL.00,2024-03-02T06:31:32.059538Z,2024-03-02T06:31:32.229538Z,2024-03-02T06:31:32.419538Z,0.96321726,S
124,RG.KUHL.00,2024-03-02T06:31:47.839538Z,2024-03-02T06:31:48.009538Z,2024-03-02T06:31:48.209538Z,0.9714704,P
125,RG.KUHL.00,2024-03-02T06:31:48.699538Z,2024-03-02T06:31:48.879538Z,2024-03-02T06:31:49.079538Z,0.9489379,S
126,RG.KUHL.00,2024-03-02T06:31:54.579538Z,2024-03-02T06:31:54.729538Z,2024-03-02T06:31:54.909538Z,0.6061777,P
127,RG.KUHL.00,2024-03-02T06:31:55.489538Z,2024-03-02T06:31:55.619538Z,2024-03-02T06:31:55.809538Z,0.37452587,S
128,RG.KUHL.00,2024-03-02T06:32:06.279538Z,2024-03-02T06:32:06.449538Z,2024-03-02T06:32:06.619538Z,0.7254659,P
129,RG.KUHL.00,2024-03-02T06:32:07.179538Z,2024-03-02T06:32:07.299538Z,2024-03-02T06:32:07.499538Z,0.5921984,S
130,RG.KUHL.00,2024-03-02T06:32:10.169538Z,2024-03-02T06:32:10.309538Z,2024-03-02T06:32:10.499538Z,0.5087489,P
131,RG.KUHL.00,2024-03-02T06:32:11.039538Z,2024-03-02T06:32:11.179538Z,2024-03-02T06:32:11.379538Z,0.6548294,S
132,RG.KUHL.00,2024-03-02T06:32:16.629538Z,2024-03-02T06:32:16.799538Z,2024-03-02T06:32:16.999538Z,0.9796014,P
133,RG.KUHL.00,2024-03-02T06:32:17.489538Z,2024-03-02T06:32:17.669538Z,2024-03-02T06:32:17.879538Z,0.94899106,S
134,RG.KUHL.00,2024-03-02T06:32:29.429538Z,2024-03-02T06:32:29.559538Z,2024-03-02T06:32:29.749538Z,0.59639466,P
135,RG.KUHL.00,2024-03-02T06:32:30.369538Z,2024-03-02T06:32:30.429538Z,2024-03-02T06:32:30.599538Z,0.2750672,S
136,RG.KUHL.00,2024-03-02T06:32:38.169538Z,2024-03-02T06:32:38.289538Z,2024-03-02T06:32:38.479538Z,0.48957485,P
137,RG.KUHL.00,2024-03-02T06:32:39.049538Z,2024-03-02T06:32:39.169538Z,2024-03-02T06:32:39.349538Z,0.36324978,S
138,RG.KUHL.00,2024-03-02T06:32:46.359538Z,2024-03-02T06:32:46.529538Z,2024-03-02T06:32:46.729538Z,0.9870428,P
139,RG.KUHL.00,2024-03-02T06:32:47.229538Z,2024-03-02T06:32:47.409538Z,2024-03-02T06:32:47.609538Z,0.9248684,S
140,RG.KUHL.00,2024-03-02T06:33:22.949538Z,2024-03-02T06:33:23.119538Z,2024-03-02T06:33:23.309538Z,0.6822445,P
141,RG.KUHL.00,2024-03-02T06:33:23.809538Z,2024-03-02T06:33:23.969538Z,2024-03-02T06:33:24.199538Z,0.7730849,S
142,RG.KUHL.00,2024-03-02T06:33:37.009538Z,2024-03-02T06:33:37.129538Z,2024-03-02T06:33:37.309538Z,0.4617417,P
143,RG.KUHL.00,2024-03-02T06:33:50.889538Z,2024-03-02T06:33:51.019538Z,2024-03-02T06:33:51.209538Z,0.500004,P
144,RG.KUHL.00,2024-03-02T06:33:51.749538Z,2024-03-02T06:33:51.899538Z,2024-03-02T06:33:52.089538Z,0.45210406,S
145,RG.KUHL.00,2024-03-02T06:34:12.269538Z,2024-03-02T06:34:12.449538Z,2024-03-02T06:34:12.649538Z,0.9807322,P
146,RG.KUHL.00,2024-03-02T06:34:13.179538Z,2024-03-02T06:34:13.339538Z,2024-03-02T06:34:13.549538Z,0.9536224,S
147,RG.KUHL.00,2024-03-02T06:34:21.289538Z,2024-03-02T06:34:21.289538Z,2024-03-02T06:34:21.469538Z,0.20097306,P
148,RG.KUHL.00,2024-03-02T06:34:22.469538Z,2024-03-02T06:34:22.549538Z,2024-03-02T06:34:22.709538Z,0.2946649,P
149,RG.KUHL.00,2024-03-02T06:34:23.289538Z,2024-03-02T06:34:23.399538Z,2024-03-02T06:34:23.609538Z,0.44551626,S
150,FR.CIEL.00,2024-03-02T06:30:22.430000Z,2024-03-02T06:30:22.600000Z,2024-03-02T06:30:22.790000Z,0.7395942,P
151,FR.CIEL.00,2024-03-02T06:30:27.900000Z,2024-03-02T06:30:28.030000Z,2024-03-02T06:30:28.280000Z,0.4841451,S
152,FR.CIEL.00,2024-03-02T06:30:55.200000Z,2024-03-02T06:30:55.340000Z,2024-03-02T06:30:55.500000Z,0.46147704,P
153,FR.CIEL.00,2024-03-02T06:31:01.230000Z,2024-03-02T06:31:01.270000Z,2024-03-02T06:31:01.460000Z,0.22018458,S
154,FR.CIEL.00,2024-03-02T06:31:17.240000Z,2024-03-02T06:31:17.420000Z,2024-03-02T06:31:17.590000Z,0.5397829,P
155,FR.CIEL.00,2024-03-02T06:31:24.320000Z,2024-03-02T06:31:24.420000Z,2024-03-02T06:31:24.570000Z,0.29263055,S
156,FO.BETS.00,2024-03-02T06:30:15.430000Z,2024-03-02T06:30:15.610000Z,2024-03-02T06:30:15.790000Z,0.98604393,P
157,FO.BETS.00,2024-03-02T06:30:16.320000Z,2024-03-02T06:30:16.500000Z,2024-03-02T06:30:16.690000Z,0.96489036,S
158,FO.BETS.00,2024-03-02T06:30:48.200000Z,2024-03-02T06:30:48.370000Z,2024-03-02T06:30:48.570000Z,0.98174345,P
159,FO.BETS.00,2024-03-02T06:30:49.100000Z,2024-03-02T06:30:49.270000Z,2024-03-02T06:30:49.460000Z,0.95973814,S
160,FO.BETS.00,2024-03-02T06:30:53.260000Z,2024-03-02T06:30:53.420000Z,2024-03-02T06:30:53.630000Z,0.9299452,P
161,FO.BETS.00,2024-03-02T06:30:54.150000Z,2024-03-02T06:30:54.300000Z,2024-03-02T06:30:54.520000Z,0.91492486,S
162,FO.BETS.00,2024-03-02T06:31:10.250000Z,2024-03-02T06:31:10.420000Z,2024-03-02T06:31:10.630000Z,0.9802236,P
163,FO.BETS.00,2024-03-02T06:31:11.130000Z,2024-03-02T06:31:11.290000Z,2024-03-02T06:31:11.500000Z,0.95878816,S
164,FO.BETS.00,2024-03-02T06:31:18.990000Z,2024-03-02T06:31:19.030000Z,2024-03-02T06:31:19.200000Z,0.22564064,P
165,FO.BETS.00,2024-03-02T06:31:19.760000Z,2024-03-02T06:31:19.800000Z,2024-03-02T06:31:19.910000Z,0.20463859,P
166,FO.BETS.00,2024-03-02T06:31:20.490000Z,2024-03-02T06:31:20.620000Z,2024-03-02T06:31:20.810000Z,0.46740457,S
167,FO.BETS.00,2024-03-02T06:31:31.040000Z,2024-03-02T06:31:31.220000Z,2024-03-02T06:31:31.410000Z,0.9795177,P
168,FO.BETS.00,2024-03-02T06:31:31.960000Z,2024-03-02T06:31:32.120000Z,2024-03-02T06:31:32.340000Z,0.9372829,S
169,FO.BETS.00,2024-03-02T06:31:47.670000Z,2024-03-02T06:31:47.840000Z,2024-03-02T06:31:48.040000Z,0.92267835,P
170,FO.BETS.00,2024-03-02T06:31:48.570000Z,2024-03-02T06:31:48.750000Z,2024-03-02T06:31:48.950000Z,0.9097852,S
171,FO.BETS.00,2024-03-02T06:31:54.380000Z,2024-03-02T06:31:54.560000Z,2024-03-02T06:31:54.740000Z,0.88513273,P
172,FO.BETS.00,2024-03-02T06:31:55.270000Z,2024-03-02T06:31:55.440000Z,2024-03-02T06:31:55.640000Z,0.88604563,S
173,FO.BETS.00,2024-03-02T06:32:07.070000Z,2024-03-02T06:32:07.080000Z,2024-03-02T06:32:07.210000Z,0.20470673,S
174,FO.BETS.00,2024-03-02T06:32:16.500000Z,2024-03-02T06:32:16.660000Z,2024-03-02T06:32:16.870000Z,0.9236722,P
175,FO.BETS.00,2024-03-02T06:32:17.390000Z,2024-03-02T06:32:17.550000Z,2024-03-02T06:32:17.770000Z,0.88638675,S
176,FO.BETS.00,2024-03-02T06:32:46.200000Z,2024-03-02T06:32:46.370000Z,2024-03-02T06:32:46.560000Z,0.97776467,P
177,FO.BETS.00,2024-03-02T06:32:47.070000Z,2024-03-02T06:32:47.250000Z,2024-03-02T06:32:47.420000Z,0.94945824,S
178,FO.BETS.00,2024-03-02T06:33:22.870000Z,2024-03-02T06:33:22.920000Z,2024-03-02T06:33:23.080000Z,0.22055861,P
179,FO.BETS.00,2024-03-02T06:33:23.640000Z,2024-03-02T06:33:23.780000Z,2024-03-02T06:33:23.960000Z,0.45673156,S
180,FO.BETS.00,2024-03-02T06:33:50.710000Z,2024-03-02T06:33:50.860000Z,2024-03-02T06:33:51.030000Z,0.55372113,P
181,FO.BETS.00,2024-03-02T06:33:51.600000Z,2024-03-02T06:33:51.750000Z,2024-03-02T06:33:51.930000Z,0.5809496,S
182,FO.BETS.00,2024-03-02T06:34:12.110000Z,2024-03-02T06:34:12.300000Z,2024-03-02T06:34:12.490000Z,0.9753532,P
183,FO.BETS.00,2024-03-02T06:34:12.980000Z,2024-03-02T06:34:13.150000Z,2024-03-02T06:34:13.340000Z,0.95863146,S
184,FO.BETS.00,2024-03-02T06:34:26.840000Z,2024-03-02T06:34:26.990000Z,2024-03-02T06:34:27.180000Z,0.31537104,P
185,FO.BETS.00,2024-03-02T06:34:57.350000Z,2024-03-02T06:34:57.440000Z,2024-03-02T06:34:57.500000Z,0.24294075,P
186,RG.SUBF.00,2024-03-02T06:30:16.430000Z,2024-03-02T06:30:16.570000Z,2024-03-02T06:30:16.790000Z,0.9748625,P
187,RG.SUBF.00,2024-03-02T06:30:17.810000Z,2024-03-02T06:30:18.010000Z,2024-03-02T06:30:18.210000Z,0.90154326,S
188,RG.SUBF.00,2024-03-02T06:30:49.160000Z,2024-03-02T06:30:49.330000Z,2024-03-02T06:30:49.550000Z,0.9823028,P
